code,name,description,cost_price
1120 anex garment steamer,1120 Anex Garment Steamer,,21476
1018 panasonic blender abs,1018 Panasonic Blender ABS,,1450
801 panasonic sandwich maker,801 Panasonic Sandwich Maker,,2200
7100 dawlance kettle,7100 Dawlance Kettle,,2580
710 oxford juicer,710 Oxford Juicer,,4261.96
7181 nd national blender,7181 ND National Blender,,2575.18
7183 nd national blender dd,7183 ND National Blender DD,,3035.9
60 mj panasonic blender,60 mj panasonic blender,,561
7200 dawlance kettle,7200 Dawlance Kettle,,2705
7200 panasonic kettl,7200 Panasonic Kettl,,1570
7025 blender copper motor,7025 Blender Copper Motor,,850
208 panasonic air fryer,208 Panasonic Air Fryer,,11700
2047 anex sandwich maker 3in1,2047 Anex Sandwich Maker 3in1,,10270.87
3004 anex toaster 2 slice,3004 Anex Toaster 2 Slice,,7075.5
722 panasonic blender,722 Panasonic Blender,,840
7425 rp n gray iron,7425 RP N Gray Iron,,1190
730 cambridge stick,730 Cambridge Stick,,2571
888 st national blendaer,888 st national blendaer,,1300
722 oxford blender 6 blade dd,722 Oxford Blender 6 Blade DD,,2287.6
4050 oxford 4in1 juicer,4050 Oxford 4in1 Juicer,,4515
744 anex plus electric oven toaster,744 Anex Plus Electric Oven Toaster,,5400
733 philips kettle,733 Philips Kettle,,2000
heater 200a7,heater 200a7,,1600
333 national juicer premium,333 National Juicer Premium,,9500
2138 anex 3in1 sandwich maker,2138 Anex 3in1 Sandwich Maker,,9031.75
721 national blender dd,721 National Blender DD,,840
18 inch worldpool charging fan,18 Inch Worldpool Charging Fan,,7444.44
733 anex baby bottler warmer double,733 Anex Baby Bottler Warmer Double,,5596.5
902 kenwood air fryer,902 Kenwood Air Fryer,,12000
7025 copper juicer motor,7025 Copper Juicer Motor,,1087.5
732 anex baby bottler warmer,732 Anex Baby Bottler Warmer,,4522.8
674 nd national air fryer,674 ND National Air Fryer,,13340
736 anex bottle warm,736 Anex Bottle Warm,,7704.67
1831 panasonic kettle,1831 Panasonic Kettle,,1600
1764 panasonic glass jar 4in1 juicer,1764 Panasonic Glass Jar 4in1 Juicer,,3750
7282 dawlance steam iron,7282 Dawlance Steam Iron,,4588
307 akira 3in1 juicer,307 Akira 3in1 Juicer,,1890
25 mb grill touch micowave oven,25 MB Grill Touch Micowave Oven,,21000
330 oxford kettle,330 Oxford Kettle,,2300.5
7760 philips 4in1 juicer,7760 Philips 4in1 Juicer,,3050
553 nd national chopper,553 ND National Chopper,,5151.32
313 indus blender,313 INDUS BLENDER,,1200
1059 life relax chopper,1059 Life Relax Chopper,,4100
777 national blender 7020cc,777 National Blender 7020CC,,1800
76 anex single juice,76 Anex Single Juice,,9441.25
777 oxford blender dd,777 Oxford Blender DD,,2231.7
7017 panasonic hand blender,7017 Panasonic Hand Blender,,2790.91
7500 national kneading machine,7500 National Kneading Machine,,8128.57
566 ns national 3in1 juicer,566 NS National 3in1 Juicer,,4019.15
786 wahab moulinex 3in1 juicer,786 Wahab Moulinex 3in1 Juicer,,2175
784 cambridge iron,784 Cambridge Iron,,2167
60g angeleno stand mixer,60G Angeleno Stand Mixer,,21000
778 national blender,778 National Blender,,1155
786 st national blender,786 ST National Blender,,870
770 dawlance car vacuum,770 Dawlance Car Vacuum,,7553
7900 dawlance sandwich maker,7900 Dawlance Sandwich Maker,,4400
1076 oxford single juicer,1076 Oxford Single Juicer,,3097.43
11 ib microwave oven black,11 IB Microwave Oven Black,,11650
76 st national single juicer,76 ST National Single Juicer,,2000
0307 egg beater indus,0307 egg beater indus,,1480
106 nd national sandwich maker steel,106 ND National Sandwich Maker Steel,,3060.82
2401 cooling fan mini,2401 Cooling Fan Mini,,1700
776 philips 3in1 juicer,776 Philips 3in1 Juicer,,3950
3030 kenwood air fryer steel body,3030 Kenwood Air Fryer Steel Body,,13300
white base,white base,,85
1026 panasonic electrics oven,1026 Panasonic Electrics Oven,,8866.67
6079 china iron,6079 China Iron,,1450
811 deuron power chopper,811 Deuron Power Chopper,,6295
8083 nd national blender dd,8083 ND National Blender DD,,3103.58
910 indus 3in1 juicer,910 Indus 3in1 Juicer,,2475
718 j stc panasonic,718 J STC PANASONIC,,1000
8085 kenwood steam iron,8085 Kenwood Steam Iron,,1500
801 sogo roti maker,801 Sogo Roti Maker,,7200
817 panasonic blende,817 Panasonic Blende,,1000
yashica kneading machine,Yashica Kneading Machine,,5000
1064 anex 20 ltr electric oven toaster,1064 Anex 20 Ltr Electric Oven Toaster,,13832
112 x on stick,112 X ON Stick,,0
9042 panasonic microwave oven,9042 Panasonic Microwave Oven,,9000
6000 mj panasonic 4in1 juicer,6000 MJ Panasonic 4in1 Juicer,,4491.67
zeeshan haider ghazanfar brothers preparing files,Zeeshan Haider Ghazanfar Brothers Preparing Files,,130000
820 st national chopper,820 ST National Chopper,,5149.44
813 deuron 3in1 big size chopper,813 Deuron 3in1 Big Size Chopper,,7375
825 nd national hand blender with whisk,825 ND National Hand Blender With Whisk,,4176
822 philips blender,822 Philips Blender,,1350
826 nd national hand blender with beater,826 ND National Hand Blender With Beater,,4263
673 nd air fryer,673 ND Air Fryer,,13360.71
835 nd national hand blender,835 ND National Hand Blender,,3560
838 nd national hand blender,838 ND National Hand Blender,,3560
909 nd national meat grinder machine,909 ND National Meat Grinder Machine,,11832
8825 1.5 mouline 3in1 juicer,8825 1.5 Mouline 3in1 Juicer,,7567.5
107 deuron double dabi,107 Deuron Double Dabi,,3145.5
9000 panasonic sm,9000 Panasonic SM,,1150
8825 panasonic 3in1 juicer mp,8825 Panasonic 3in1 Juicer MP,,6369.74
1150 seco food factory,1150 Seco Food Factory,,6500
504 nd national insect killer,504 ND National Insect Killer,,8455
ref 9101 sd r nd silver & black fridge,REF 9101 SD R ND Silver & Black Fridge,,24893.55
900 nd national stick blender,900 ND National Stick Blender,,3471
9122 cambridge electric oven,9122 Cambridge Electric Oven,,4900
594 panasonic blender 7020cc,594 Panasonic Blender 7020CC,,0
1065 anex 20 ltr electric oven toaster,1065 Anex 20 Ltr Electric Oven Toaster,,14833
130 anex hand blender with beater& chopper,130 Anex Hand Blender With Beater& Chopper,,11318.22
button 592 blender,Button 592 Blender,,90
915 spell kettle,915 Spell Kettle,,1491
2025 remington hair dryer,2025 Remington Hair Dryer,,2200
1071 anex dry iron,1071 Anex Dry Iron,,3767.4
918 unbreakable panasonic blender,918 Unbreakable Panasonic Blender,,1215
920 ns blender dd,920 NS Blender DD,,2006.3
922 spell kettle,922 Spell Kettle,,1646
918 spell kettle,918 Spell Kettle,,1513
632 nd national hand blender,632 ND National Hand Blender,,3915
80 haeger hand blender 5in1,80 Haeger Hand Blender 5in1,,3900
8825 moulinex 3in1 juicer,8825 Moulinex 3in1 Juicer,,6351
25 mo panasonic microwave oven,25 MO Panasonic Microwave Oven,,19000
256 kenwood chopper,256 Kenwood Chopper,,6175
box 4000 gb 176 juicy green,Box 4000 GB 176 Juicy Green,,100
225 tg oxford micro oven,225 TG Oxford Micro Oven,,20000
941 rigga vacuum,941 Rigga Vacuum,,6700
9000 panasonic food processor,9000 Panasonic Food Processor,,5100
40 mh hot plate,40 MH Hot Plate,,3240.48
ads box heater,ADS Box Heater,,770
2137 anex sandwich maker 4 slice,2137 Anex Sandwich Maker 4 Slice,,9737
box st 22awt,BOX ST 22AWT,,48
13 g power tap,13 G Power Tap,,2850
box 1136 3in1 juicer,Box 1136 3in1 Juicer,,81
4430 st juicer 3in1,4430 St Juicer 3in1,,4858.33
70 g national micro oven,70 G National Micro Oven,,10000
6137 anex blender,6137 Anex Blender,,6165.25
3150 anex food processor,3150 Anex Food Processor,,19201
715 seco double hot plate,715 Seco Double Hot Plate,,13000
923 spell kettle,923 Spell Kettle,,1475
3094 anex insect killer 40w,3094 Anex Insect Killer 40W,,12148.5
702 g power fish heater,702 G Power Fish Heater,,830
102 gb info 3in1 juicer,102 GB Info 3in1 Juicer,,2325
95 nd national iron,95 ND National Iron,,2314
1004 mj 4in1 juicer,1004 MJ 4in1 Juicer,,5300
23 az air fryer double bucket,23 AZ Air Fryer Double Bucket,,10000
103 fh renova fan heater,103 FH Renova Fan Heater,,2300
90 number blender,90 number blender,,5000
2121 anex electric oven toaster,2121 Anex Electric Oven Toaster,,25753
4012 kt,4012 KT,,0
999 st national blender 7025 copper,999 St National Blender 7025 Copper,,2080
61 nd national iron,61 ND National Iron,,3256.14
176 black box panasonic juicer 3in1,176 Black Box Panasonic Juicer 3in1,,2900
box st 238 juicer,Box St 238 Juicer,,107
143 anex hand blender,143 Anex Hand Blender,,9626.72
8203 wp h/b,8203 WP H/B,,0
patch button,Patch Button,,70
3034 anex heater,3034 Anex Heater,,4050
00 sm kenwood sandwich maker,00 Sm Kenwood Sandwich Maker,,6800
9090 st national food processor,9090 St National Food Processor,,4800
20 w cri cri insect killer,20 W Cri Cri Insect Killer,,4150
2000 kw 3in1 juicer 8820,2000 KW 3in1 Juicer  8820,,5850
616 super rannia fan,616 Super Rannia fan,,0
a 27 sanyo dish heater,A 27 Sanyo Dish Heater,,8000
226 a one iron,226 A One Iron,,950
625 panasonic microwave oven touch with grill,625 Panasonic Microwave Oven Touch With Grill,,22700
304 kenwood stick blender,304 Kenwood Stick Blender,,3075
620 oxford 3in1 juicer,620 Oxford 3in1 Juicer,,2408
ref 9149wb chrome pearl copper fridge,REF 9149WB Chrome Pearl Copper Fridge,,54459.43
4470 chopper 3 ltr,4470 Chopper 3 Ltr,,2500
9303 west point egg beater,9303 West Point Egg Beater,,4547
g3 angeleno citrus press,G3 Angeleno Citrus Press,,10100
238 st national 3in1 juicer 8825 ib,238 St National 3in1 Juicer 8825 IB,,6300
45 nikai sm,45 Nikai SM,,0
5030 panasonic air fryer,5030 Panasonic Air Fryer,,9506.25
1072 philips blender,1072 Philips Blender,,1152
5051 nd national cooker 1.6ltr,5051 ND National Cooker 1.6Ltr,,5655
03 cambridge eb,03 Cambridge EB,,0
17b np national kettle,17B NP National Kettle,,2092
1000 panasonic blender heavy motor,1000 Panasonic Blender Heavy Motor,,3500
9993 st national blender,9993 ST National Blender,,1342
950f original hitachi vaccuum cleaner,950F Original Hitachi Vaccuum Cleaner,,37833.33
03 fh lider fan heater,03 FH Lider Fan Heater,,1300
676 sogo fan,676 Sogo Fan,,3350
pn panasonic 3in1,PN PANASONIC 3IN1,,3709.52
999 st national blender,999 ST National Blender,,1121
04 fh resovio fan heater,04 FH Resovio Fan Heater,,1400
70 kw kenwood blender,70 kw kenwood blender,,673.2
box 405 sandwich maker,Box 405 Sandwich Maker,,70.33
650 philips kettle,650 Philips Kettle,,1310
master carton 592 blender,Master Carton 592 Blender,,120
102 kenwood chopper,102 Kenwood Chopper,,4600
395 kenwood hot plate,395 Kenwood Hot Plate,,3233.33
015 fh jl nova fan heater,015 FH JL Nova Fan heater,,2150
07 fh jl nova fan heater,07 FH JL Nova Fan Heater,,1850
750 panasonic food factory,750 Panasonic Food Factory,,4300
176 ms panasonic 3in1 juicer,176 MS Panasonic 3in1 Juicer,,351.76
105 deuron plus single dabi,105 Deuron Plus Single Dabi,,0
1073 philips blender,1073 Philips Blender,,1160
18n novl box heater,18N Novl Box Heater,,825
jpn special iron,JPN Special Iron,,1380
3043 anex big chopper,3043 Anex Big Chopper,,8895.25
mst 176 3in1 juicer,MST 176 3in1 Juicer,,2275
gw1 panasonic sandwich maker,GW1 Panasonic Sandwich Maker,,8500
176 commercial panasonic juicer,176 Commercial Panasonic Juicer,,3850
111 raf hot plate,111 Raf Hot Plate,,3283.33
9000 176 panasonic classic 3in1 juicer,9000 176 Panasonic Classic 3in1 Juicer,,3650
176 panasonic juicer deluxe,176 Panasonic Juicer Deluxe,,2420
76 jpn iron heavy weight,76 JPN Iron Heavy Weight,,1361
nsb 80 ketao fish heater,NSB 80 Ketao Fish Heater,,590
gh1 panasonic egg beater,GH1 Panasonic Egg Beater,,1736
1074 philips blender dd,1074 Philips Blender DD,,1155
nsb90a amax dish heater,NSB90A Amax Dish Heater,,3000
635 st national vacuum cleaner,635 St National Vacuum Cleaner,,8627.27
0816 panasonic iron special gray,0816 Panasonic Iron Special Gray,,1536.5
806 ns coffee grinder,806 NS Coffee Grinder,,0
3073 anex 25l oven toaster,3073 Anex 25L Oven Toaster,,26117
321 oxford kettle,321 Oxford Kettle,,1548
10 anex handy chopper,10 Anex Handy Chopper,,2202.2
144 anex hand blender,144 Anex Hand Blender,,6932.38
1075 philips blender,1075 Philips Blender,,1031
400-kw juicer 8825,400-kw juicer 8825,,4500
spectra 1500 q kneading machine,Spectra 1500 Q Kneading Machine,,7692.86
832 nd hand blender,832 ND Hand blender,,3784
vip iron n197 iron,VIP Iron N197 Iron,,1562.67
706 deuron white toaster,706 Deuron White Toaster,,5576
688 sogo fan,688 Sogo Fan,,0
941 west point blender,941 West Point Blender,,4500
408 west point kettle,408 West Point Kettle,,2500
40 mj master cartton,40 mj master cartton,,130
112 nd national sandwich maker detachable,112 ND National Sandwich Maker Detachable,,5829
bolt gata,Bolt Gata,,6.17
2023 anex rice coocker,2023 Anex Rice Coocker,,8281
box special panasonic 3in1 malaysia,box special panasonic 3in1 malaysia,,122
220 st national hand blender,220 ST National Hand Blender,,3050
300 steam iron,300 Steam Iron,,8500
mj 40 jug,Mj 40 Jug,,250
500 ns blender,500 NS Blender,,1102
3600 panasonic 3in1 juicer,3600 Panasonic 3in1 Juicer,,4984
box 224 st national kettle,Box 224 St National Kettle,,48.4
839 nd national hand blender,839 ND National Hand Blender,,3560
1688 geepas sandwich maker,1688 Geepas Sandwich Maker,,0
box 1137 3in1 juicer,Box 1137 3in1 Juicer,,85.5
1081 panasonic blender original,1081 Panasonic Blender Original,,14000
box 1818 3in1 juicer,Box 1818 3in1 Juicer,,87
box 1076 philips 4in1 juicer,Box 1076 Philips 4in1 Juicer,,55
108 national blender,108 National Blender,,840
7023 nd national blender dd,7023 ND National Blender DD,,3204
405 sandwich maker,405 Sandwich Maker,,2017.5
button piano 004 blender,Button Piano 004 Blender,,67
679 sogo fan,679 Sogo Fan,,4000
4047 anex kettle steel 1.7 ltr,4047 Anex Kettle Steel 1.7 Ltr,,7712.25
glaxy microwave oven,Glaxy Microwave Oven,,4900
525 st national microwave oven,525 St National Microwave Oven,,8420
4535 seco electric oven toaster,4535 Seco Electric Oven Toaster,,10400
140 panasonic food processor,140 Panasonic Food Processor,,7500
235 fp cambridge food processor,235 FP CAMBRIDGE FOOD PROCESSOR,,5400
014 raf chopper,014 Raf Chopper,,2467.5
2700 panasonic blender 7020 copper,2700 Panasonic Blender 7020 Copper,,0
801 life relaxe fan heater,801 Life Relaxe Fan Heater,,2000
7183 panasonic blender dd,7183 Panasonic Blender DD,,1400
1841 philips 4in1 juicer,1841 Philips 4in1 Juicer,,4800
3145 anex food processor,3145 Anex Food Processor,,16175.25
670 sogo fan,670 Sogo Fan,,4000
4560 seco oven toaster,4560 Seco Oven Toaster,,11900
866 kenwood chopper unbreakable,866 Kenwood Chopper Unbreakable,,3850
blender moter patch,blender moter patch,,450
1760 panasonic juicer classic copper 4in1,1760 Panasonic Juicer Classic Copper 4in1,,4200
109 arson blender,109 Arson Blender,,1090
115 pel water dispenser gd purple,115 PEL Water Dispenser GD Purple,,18200
830 st national chopper,830 St National Chopper,,6000
683 sogo fan,683 Sogo Fan,,0
1242 remington hair dryer,1242 Remington Hair Dryer,,2000
764 nd national food factory,764 ND National Food Factory,,9222
6023 m net black microwave oven,6023 M Net Black Microwave Oven,,15235.29
977 panasonic chopper,977 Panasonic Chopper,,3250
700 nd national blender glass jar,700 ND National Blender Glass Jar,,2300
5514 osaka fan,5514 Osaka Fan,,3950
320 moulinex chopper,320 Moulinex Chopper,,4350
27031 geepas tower sandwich maker,27031 Geepas Tower Sandwich Maker,,5000
131 lion blender,131 Lion Blender,,1250
7600 philips 3in1 juicer copper,7600 Philips 3in1 Juicer Copper,,4000
014 seco fan heater,014 Seco Fan Heater,,2000
865 national chopper,865 National Chopper,,4100
2332 silver crest steam iron,2332 Silver Crest Steam Iron,,3500
3001 multynet blender,3001 multynet blender,,1180
815 anex egg beater,815 Anex Egg Beater,,4058.6
324 deuron sandwich maker,324 Deuron Sandwich Maker,,3325
099 st 17 inch black dish heater,099 St 17 Inch Black Dish Heater,,2680
516 national plus kettle,516 National Plus Kettle,,1825
3314 sinbo 14 inch heater,3314 Sinbo 14 Inch Heater,,950
base jug white 3in1 juicer,Base Jug White 3in1 Juicer,,85
9090 nd national blender glass,9090 ND National Blender Glass,,3008.71
640 seco raod heater,640 Seco Raod Heater,,2900
220 oxford microwave oven,220 Oxford Microwave Oven,,11500
814 lever fan,814 LEVER FAN,,3400
slim tower ceramic tower,slim tower ceramic tower,,4900
ref 9140wb avante pearl burgundy fridge,REF 9140WB Avante Pearl Burgundy Fridge,,56152.72
1010 panasonic food factory,1010 Panasonic Food Factory,,8300
0102 x on kt,0102 X ON KT,,0
2495 seco electric oven,2495 Seco Electric Oven,,18300
5382 geepas hand blender,5382 Geepas Hand Blender,,2000
4020 commercial blender,4020 Commercial Blender,,9800
3021 dawlance hot plate,3021 Dawlance Hot Plate,,8800
0815 panasonic iron china special ak,0815 Panasonic Iron China Special AK,,2260
master carton juicer,Master Carton Juicer,,114.24
4500 panasonic microwave oven 20l digital,4500 Panasonic Microwave Oven 20L Digital,,14500
base body 1018 blender,Base Body 1018 Blender,,60
9000 kenwood food processor,9000 Kenwood Food Processor,,5100
gh1 gold star hot plate,GH1 Gold Star Hot Plate,,5250
6 l manual silver crest air fryer,6 L Manual Silver Crest Air Fryer,,10500
2225 pure st national 4in1 juicer,2225 Pure St National 4in1 Juicer,,0
jp panasonic juicer bb 3in1,JP Panasonic Juicer BB 3in1,,3250
770 philips 3in1 juicer bb,770 Philips 3in1 Juicer BB,,3650
378 raf hand blender,378 Raf Hand Blender,,2050
145 anex hand blender,145 Anex Hand Blender,,6825
822 west point microwave oven,822 West Point Microwave Oven,,12500
8027 kenwood china iron,8027 Kenwood China Iron,,0
178 anex juicer 3in1,178 Anex Juicer 3in1,,12139.4
switch paino,Switch Paino,,80
325 nd national vacuum cleaner,325 ND National Vacuum Cleaner,,13172
817 cambridge stick blender,817 Cambridge Stick Blender,,2252
102 lion sandwich maker,102 Lion Sandwich Maker,,1200
502 mj blender,502 MJ Blender,,2110
006 panasonic sandwich maker,006 Panasonic Sandwich Maker,,2175
401 lido fan,401 Lido Fan,,3500
2026 14 inch simple heater,2026 14 Inch Simple Heater,,1000
50 hm nd national egg beater,50 HM ND National Egg Beater,,1875
534 kenwood chopper 5 ltr,534 Kenwood Chopper 5 Ltr,,3600
111 unitech blender,111 Unitech Blender,,840
1816 yimiti kettle,1816 Yimiti Kettle,,1600
212 national blender,212 National Blender,,1450
853 nd national chopper,853 ND National Chopper,,7395
376 ak 3in1 juicer,376 AK 3in1 Juicer,,3100
2017 remington hair dryer,2017 Remington Hair Dryer,,2200
8005 panasonic plastic jug 1.5 3in1,8005 panasonic plastic jug 1.5 3in1,,2900
8640 kenwood roti maker,8640 Kenwood Roti Maker,,6700
336 kenwood hot plate,336 Kenwood Hot Plate,,3369.23
718 panasonic blender 7015cc,718 Panasonic Blender 7015CC,,1450
golden jali,GOLDEN JALI,,540.26
2361 china steam iron,2361 China Steam Iron,,1200
2225 st national 3in1 juicer,2225 ST National 3in1 Juicer,,2450
30pfh kenwood air fryer,30PFH Kenwood Air Fryer,,26500
219 nd national kettle 1.7 l,219 ND National Kettle 1.7 L,,3132
710 philips air fryer,710 Philips Air Fryer,,10333.33
005 philips kettle,005 Philips Kettle,,1325
565 philips air fryer,565 Philips Air Fryer,,13700
2179 anex heavy weight iron,2179 Anex Heavy Weight Iron,,5428.45
box 1075 philips blender,Box 1075 Philips Blender,,52
650 nd national chopper,650 ND National Chopper,,5633.25
510 ns blender 2in1,510 NS Blender 2in1,,1698.4
0946 life relaxe fan heater,0946 Life Relaxe Fan Heater,,2700
543 st blender 7020 cooper,543 St Blender 7020 cooper,,2100
1125 nd national fan heater,1125 ND National Fan Heater,,4272
6027 anex blender,6027 Anex Blender,,4200
4000 ph new model,4000 ph new model,,13300
112 national blender,112 National Blender,,1040
20 l wooden microwave oven,20 L Wooden Microwave Oven,,11700
76 panasonic single juicer malaysia box,76 Panasonic Single Juicer Malaysia Box,,1925
303 kenwood hot plate,303 Kenwood Hot Plate,,3350
3045 brilliance electric oven,3045 Brilliance Electric Oven,,17500
9095 nd national glass blender,9095 ND National Glass Blender,,3649
500 st sm,500 St SM,,0
671 nd air fryer,671 ND Air Fryer,,13965.71
3010 kenwood air fryer,3010 Kenwood Air Fryer,,10333.33
master cartton double dabi,Master Cartton Double Dabi,,130
1035 anex sandwich maker,1035 Anex Sandwich Maker,,5187
2020 oxford 3in1 juicer,2020 Oxford 3in1 Juicer,,2950
94 ab perfect heater,94 AB Perfect Heater,,1400
1589 comerical blender sliver crest,1589 Comerical Blender Sliver Crest,,3611.82
4589 geepas stick,4589 Geepas Stick,,0
box china pure,box china pure,,800
box 4080 philips iron,Box 4080 Philips Iron,,68
1760 pn panasonic 4in1 juicer,1760 PN Panasonic 4in1 Juicer,,4218.18
complete set juicer white body,complete set juicer white body,,1100
88 ab perfect heater,88 AB Perfect Heater,,1500
1020 oxford chopper,1020 Oxford Chopper,,1548
4in1 bricks,4in1 bricks,,9.17
300 kenwood hot plate,300 Kenwood Hot Plate,,3371.43
340 moulinex 3in1 juicer 7025,340 Moulinex 3in1 Juicer 7025,,3800
302 nd national garments steamer,302 ND National Garments Steamer,,5073
782 oxford blender dd,782 Oxford Blender DD,,2747.7
3600 national 4in1 juicer,3600 National 4in1 Juicer,,3692.54
200 super rinnai fan,200 Super Rinnai Fan,,0
113 st national special iron,113 St National Special Iron,,1587.16
01 tap,01 Tap,,1900
405 kenwood juicer,405 Kenwood Juicer,,4125
2460 seco electric oven,2460 Seco Electric Oven,,16300
165 spell sandwich maker,165 Spell Sandwich Maker,,1579
030 kenwood hand blender,030 Kenwood Hand Blender,,4400
2050 p gray iron black handle,2050 P Gray Iron Black Handle,,700
4082 nd blender dry mill 1.6 liter jug,4082 ND Blender Dry MIll 1.6 Liter Jug,,4002
176 gb philips 3in1 juicer white body 7025cc,176 GB Philips 3in1 Juicer White Body 7025CC,,1590
box st 4440 900w 4in1 juicer,Box ST 4440 900W 4in1 Juicer,,141.25
113 st national iron regular,113 ST National Iron Regular,,1418
113 nd national sandwich maker,113 ND National Sandwich Maker,,3560
555 microwave oven,555 Microwave Oven,,11560
724 body complete,724 body complete,,145
2082 anex insect killer,2082 Anex Insect Killer,,5121
710 china blender panasonic,710 CHINA BLENDER PANASONIC,,850
781 oxford blender,781 Oxford Blender,,2218.8
777 philips 4in1 juicer copper,777 Philips 4in1 Juicer Copper,,3950
3055 n gray national iron,3055 N Gray National Iron,,840
black dish small 2023,black dish small 2023,,975
580 kenwood blender,580 Kenwood Blender,,0
530af dawlance microwave oven,530AF Dawlance Microwave Oven,,36250
2130 national food factory,2130 National Food Factory,,4850
gs1 panasonic hand blender,GS1 Panasonic Hand Blender,,9500
526 sunlight kettle,526 Sunlight Kettle,,3000
724 base masala,724 base masala,,110
4002 dawlance side top juicer,4002 Dawlance Side Top Juicer,,13587.48
8825 gb panasonic 3in1 juicer,8825 GB Panasonic 3in1 Juicer,,3600
301 kenwood hot plate,301 Kenwood Hot Plate,,3421.43
406 panasonic coffee grinder,406 Panasonic Coffee Grinder,,1675
3900 china kettle,3900 China Kettle,,1375
109 nd national sandwich maker steel,109 ND National Sandwich Maker Steel,,3132
12 anex vegetable slicer,12 Anex Vegetable Slicer,,3048.5
imran haider st national i.t return & wealth statement,Imran Haider St National I.T Return & Wealth Statement,,65000
iron thermostate,Iron Thermostate,,111.25
mq 3000 braun hand blender+samoothie,MQ 3000 Braun Hand Blender+Samoothie,,12700
872 ms hand blender set 5 in 1,872 MS Hand Blender Set 5 in 1,,3800
555 st national blender 7020cc,555 St National Blender 7020CC,,360.67
873 nd air fryer,873 ND AIR FRYER,,12702
8199 nd national heavy blender,8199 ND National Heavy Blender,,7120
176 hs 8600cc kenwood 3in1 juicer 7025cc,176 HS 8600CC Kenwood 3in1 Juicer 7025CC,,0
162 anex plus electric oven,162 Anex plus electric oven,,7000
kw-009 kenwood sandwich maker,KW-009 Kenwood Sandwich Maker,,2700
7020 copper blender motor,7020 Copper Blender Motor,,844.17
230 anex china sandwich maker,230 Anex China Sandwich Maker,,1650
196 seco 4in1 juicer,196 Seco 4in1 Juicer,,4400
692 sogo fan,692 Sogo Fan,,0
889 ms stick blender steel,889 MS Stick Blender Steel,,3400
111 panasonic microwave oven,111 Panasonic Microwave Oven,,11570
plate microwave oven,Plate Microwave Oven,,325
3320 dish heater,3320 Dish Heater,,2675
775 anex egg boiler,775 Anex Egg Boiler,,5687.5
118 deuron blender,118 Deuron Blender,,3955
777 nd national air fryer,777 ND National Air Fryer,,20025
3080 anex electric oven toaster,3080 Anex Electric Oven Toaster,,33488
646 anex coffee grinder,646 Anex Coffee Grinder,,6006
724 kw blender 7020 cooper,724 Kw Blender 7020 cooper,,2100
1172 china philips iron,1172 China Philips Iron,,1689.29
886 national chopper unbreakable bowl,886 National Chopper Unbreakable Bowl,,5000
821 donut maker,821 Donut Maker,,6000
20ug65 microwave 20 ltr touch with grill,20UG65 Microwave 20 Ltr Touch With Grill,,14900
7786 panasonic food factory,7786 Panasonic Food Factory,,11642.86
2393 golden tek fan,2393 Golden Tek Fan,,0
2098 anex vacuum cleaner 1500w 2in1,2098 Anex Vacuum Cleaner 1500W 2in1,,25085.67
2126 anex air fryer,2126 Anex Air Fryer,,32578
cap,cap,,500
250 g silver crest grinder,250 G Silver Crest Grinder,,8675
704 deuron white with multi function toaster,704 Deuron White With Multi Function Toaster,,6026
0426 raf hot plate,0426 RAF Hot Plate,,4200
0699 philips sandwich maker,0699 Philips Sandwich Maker,,3187.5
176 hs 9900 3in1 juicer,176 HS 9900 3in1 Juicer,,373.75
1214 moulinex blender gb 7020,1214 Moulinex  Blender GB 7020,,1031
3500w gropa hot plate,3500W Gropa Hot Plate,,3450
3050 kenwood chopper,3050 Kenwood Chopper,,4257.14
176 panasonic juicer m new 3in1,176 Panasonic Juicer M New 3in1,,2363
33 silver sandwich maker,33 Silver Sandwich Maker,,0
352 kenwood 3in1 juicer,352 Kenwood 3in1 Juicer,,3300
box 1764 4in1 panasonic,Box 1764 4in1 Panasonic,,100
1102 panasonic food factory,1102 Panasonic Food Factory,,4300
box 7600 philips juicer,Box 7600 Philips Juicer,,80
169 currency counter,169 Currency Counter,,10800
30 w finex insect killer,30 W Finex Insect Killer,,0
225 nd national microwave oven,225 ND National Microwave Oven,,17719
218 nd national kettle 2.5 l,218 ND National Kettle 2.5 L,,3111.53
2525 juicer 7025 cca,2525 Juicer 7025 CCA,,3400
15 hondi chopper,15 Hondi Chopper,,0
1200 philips 3in1 juicer,1200 Philips 3in1 Juicer,,5350
1100 kenwood food factory,1100 Kenwood Food Factory,,8150
444 900w,444 900W,,0
2017 canon microwave oven,2017 CANON MICROWAVE OVEN,,4800
1176 jack pot 4in1 juicer,1176 Jack Pot 4in1 Juicer,,2775
762 nd national food processor,762 ND National Food Processor,,9222
484 philips garments steamer,484 Philips Garments Steamer,,19750
n gray gb iron,N Gray GB Iron,,815
91 anex single juicer,91 Anex Single Juicer,,13127
18c nsb china heater,18C NSB China Heater,,1000
837 nd national stick blender,837 ND National Stick Blender,,3741
04 renova fan heater,04 Renova Fan Heater,,1425
888 bosch chopper 3 litter,888 Bosch Chopper 3 Litter,,3600
880 mj blender 7020 copper,880 mj blender 7020 Copper,,1840
114 st national iron,114 ST National Iron,,1042
400 g silver crest grinder,400 G Silver Crest Grinder,,11500
7817 raf kettle,7817 RAF Kettle,,4200
